State-County FIPS,Total Active Borrowers,Very Low Income,Low Income,Married,American Indian/Alaskan Native,Asian,Black/African American,Hawaiin Pacific Islander,White,Hispanic,Average Number of Children,Average Household Size
47051,70,29,41,21,0,0,13,0,53,0,1.1,2.5
47053,170,67,102,32,0,0,72,0,92,1,1.3,2.6
47055,115,46,69,20,1,0,48,0,64,2,1.2,2.3
47057,29,8,21,10,0,0,1,0,25,1,0.8,1.8
47059,202,72,131,59,0,0,10,0,191,2,0.9,2.1
47061,60,30,30,27,0,0,0,0,60,0,1.5,2.9
47063,99,35,63,16,0,0,8,0,89,2,1.1,2.2
47065,69,24,45,23,1,0,5,0,63,2,1.2,2.5
47067,52,29,22,22,0,0,0,0,50,0,1,2.5
47069,177,48,129,37,0,0,136,0,30,0,1.9,3.2
47071,64,25,39,18,0,0,10,0,52,0,0.8,2.1
47073,115,51,66,55,1,0,4,0,106,0,1.1,2.3
47075,155,34,120,36,0,0,131,0,18,0,1.2,2.4
47077,75,26,49,16,0,0,19,0,55,1,1.1,2.4
47079,107,44,63,25,0,0,21,0,86,1,1.2,2.6
47081,62,29,33,18,0,0,3,0,57,0,1.3,2.6
47083,18,8,10,8,0,0,2,0,14,0,1.3,3
47085,22,7,14,6,0,0,4,0,17,0,1.1,2.3
47087,54,15,39,17,0,0,0,0,52,0,1.8,3.4
47089,106,39,67,45,3,0,2,0,97,1,1.2,2.5
47091,51,25,26,21,0,0,0,0,50,0,0.9,2.4
47093,109,41,68,34,0,0,5,0,102,2,1.1,2.5
47095,54,31,23,15,0,0,26,0,27,0,1,2.1
47097,155,58,95,36,2,1,92,0,56,2,1.2,2.4
47099,102,38,64,31,1,0,3,0,91,0,1.1,2.4
47101,24,7,17,8,1,0,0,0,23,0,0.8,2
47103,44,21,23,10,0,0,10,1,32,0,1.1,2.2
47105,58,16,42,27,0,0,2,1,52,6,1,2.5
47107,175,64,111,45,0,1,20,0,150,12,0.9,2.2
47109,102,49,53,30,1,1,39,1,63,1,1.2,2.5
47111,46,24,22,16,1,0,1,0,40,2,1.1,2.5
47113,200,70,130,45,2,2,120,1,74,3,1.2,2.4
47115,157,57,100,52,1,0,15,0,136,2,0.8,2.1
47117,75,31,44,19,0,0,18,0,55,0,1.2,2.5
47119,68,36,32,11,0,0,24,0,43,1,1.2,2.2
47121,16,5,11,4,1,0,1,0,14,0,1,2.6
47123,72,22,49,15,0,0,5,0,65,0,1.4,2.5
47125,50,16,34,9,0,0,19,0,28,1,1.8,3
47127,1,0,1,1,0,0,0,0,1,0,,
47129,101,22,79,37,1,0,0,0,98,0,1.1,2.7
47131,90,35,54,34,0,0,16,0,72,1,1.1,2.4
47133,72,28,43,23,0,0,0,0,66,0,1,2.7
47135,10,5,5,3,0,0,0,0,9,0,1.5,3
47137,24,7,16,8,1,0,0,0,23,0,0.9,1.7
47139,39,16,23,17,0,0,0,0,37,0,1,2.6
47141,167,72,95,72,1,0,2,0,158,3,1.4,2.8
47143,24,12,12,9,0,1,1,0,21,1,0.4,1.7
47145,49,19,30,23,1,0,0,0,49,2,1.3,2.8
47147,123,46,77,35,1,0,41,0,77,1,1.2,2.6
